,Country,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
595,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0008R,SP_33036999_9_M,43.43917,-4.85,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,95.89041096,100,95.89041096,7.05142857
596,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES1968A,SP_03014009_9_46,38.35111111,-0.51388888,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,90.23972603,100,90.23972603,5.1887413
597,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES2003A,SP_38038024_9_49,28.455375,-16.27675,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.4086758,100,97.4086758,11.56381108
598,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1937A,SP_28079047_9_47,40.39805555,-3.68666666,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,95.73059361,100,95.73059361,11.91700453
599,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES2018A,SP_46028001_9_46,39.78222222,-0.35916666,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,93.51598174,100,93.51598174,9.17712402
600,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES1746A,SP_26066001_9_47,42.341,-2.232,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.32648402,100,99.32648402,8.89955177
601,Spain,2015,2016-07-31T01:12:18.037Z,STA_ES2038A,SP_38038027_9_49,28.459314,-16.270206,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.51826484,100,96.51826484,12.156712
602,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES0825A,SP_33031030_9_49,43.3067,-5.6897,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.39269406,100,96.39269406,19.6363098
603,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1886A,SP_46077006_9_46,39.42722222,-0.78388888,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,89.78310502,100,89.78310502,6.04767959
604,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES1480A,SP_08019044_9_M,41.39874325,2.153385124,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,94.79452055,100,94.79452055,15.88294797
605,Spain,2015,2016-07-31T01:12:18.037Z,STA_ES1764A,SP_38011005_9_47,28.380537,-16.371986,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.6369863,100,97.6369863,5.13924938
606,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1885A,SP_46250046_9_46,39.48027777,-0.33638888,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.27625571,100,98.27625571,12.09908235
607,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1810A,SP_28171001_9_49,40.247937,-4.27515,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.26484018,100,98.26484018,11.74070631
608,Spain,2015,2017-08-12T04:51:05.54Z,STA_ES1988A,SP_24089010_9_49,42.57527777,-5.56638888,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.79223744,100,96.79223744,8.21500176
609,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1763A,SP_35019004_9_47,27.801278,-15.461157,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.20319635,100,97.20319635,7.32988843
610,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0007R,SP_18189999_9_M,37.23722,-3.53417,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,92.32876712,100,92.32876712,10.34421364
611,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0011R,SP_06016999_9_M,38.47278,-6.92361,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,94.79452055,100,94.79452055,8.45664739
612,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1955A,SP_35004002_9_49,28.96787,-13.555856,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,92.60273973,100,92.60273973,5.29142011
613,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1673A,SP_01059012_9_49,42.84361111,-2.66138888,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,77.52283105,100,77.52283105,7.83640111
614,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1440A,SP_36057021_9_47,42.2103,-8.7369,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,93.25342466,100,93.25342466,14.87299547
615,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES1671A,SP_46258001_9_46,39.70805555,-0.83194444,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.29452055,100,97.29452055,10.75935703
616,Spain,2015,2016-07-31T01:12:18.037Z,STA_ES1980A,SP_38037001_9_47,28.685983,-17.764587,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,95.25114155,100,95.25114155,5.78032118
617,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1472A,SP_31201012_9_49,42.80722,-1.65139,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,84.9543379,100,84.9543379,11.22765385
618,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1803A,SP_28047002_9_49,40.633089,-4.01425,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.89269406,100,98.89269406,13.19415906
619,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1977A,SP_35022002_9_47,27.89833,-15.48833,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.36986301,100,96.36986301,9.36128879
620,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES0886A,SP_35026001_9_47,28.029852,-15.416086,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,83.42465753,100,83.42465753,3.96209633
621,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1741A,SP_35019002_9_47,27.763652,-15.563851,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.3630137,100,97.3630137,12.01629733
622,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1744A,SP_35002002_9_47,27.86907,-15.38715,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.21461187,100,97.21461187,8.55659934
623,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0010R,SP_17032999_9_M,42.31917,3.31583,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,89.5890411,100,89.5890411,8.48623853
624,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1685A,SP_12005005_9_49,40.05194444,-0.18972222,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,85.38812785,100,85.38812785,7.44959893
625,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1543A,SP_12141002_9_46,40.735,-0.16944444,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,97.53424658,100,97.53424658,6.88050093
626,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1443A,SP_09059006_9_49,42.33611,-3.63611,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,92.55707763,100,92.55707763,5.39010853
627,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1688A,SP_12032001_9_46,39.89222222,-0.065,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.77853881,100,98.77853881,6.16075349
628,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1811A,SP_28180001_9_49,40.16722778,-3.276569444,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.60730594,100,98.60730594,11.45126186
629,Spain,2017,2017-01-04T01:49:16.423Z,STA_ES1636A,SP_47186030_9_49,41.65611111,-4.73388888,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,94.21232877,100,94.21232877,9.32194353
630,Spain,2017,2018-09-08T03:50:58.41Z,STA_ES1856A,SP_08019054_9_M,41.4260772,2.147992032,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.43835616,100,96.43835616,12.10539772
631,Spain,2017,2018-01-13T05:01:59.413Z,STA_ES1494A,SP_20069002_9_49,43.32277777,-1.96027777,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.35844749,100,96.35844749,8.26063262
632,Spain,2017,2018-01-13T05:01:59.413Z,STA_ES1691A,SP_12140002_9_46,39.93055555,-0.60333333,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.95205479,100,96.95205479,7.34487224
633,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1867A,SP_15036003_9_49,43.481501,-8.24316,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.17579909,100,96.17579909,8.70183264
634,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1572A,SP_33044032_9_49,43.3727,-5.8728,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.75570776,100,98.75570776,11.8021038
635,Spain,2017,2017-12-30T04:27:53.523Z,STA_ES1440A,SP_36057021_9_47,42.2103,-8.7369,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,96.01598174,100,96.01598174,15.0543336
636,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES0873A,SP_35016010_9_47,28.03512,-15.41631,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,93.39041096,100,93.39041096,8.06160616
637,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2004A,SP_35026004_9_47,28.026317,-15.414657,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,90.01141553,100,90.01141553,7.38249841
638,Spain,2017,2018-09-08T03:50:58.41Z,STA_ES0013R,SP_49149999_9_M,41.23889,-5.8975,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,89.31506849,100,89.31506849,5.08895705
639,Spain,2017,2017-01-04T01:49:16.423Z,STA_ES2010A,SP_47186031_9_49,41.63,-4.74055555,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,77.79680365,100,77.79680365,15.01511371
640,Spain,2017,2017-01-12T02:27:59.127Z,STA_ES1920A,SP_38004001_9_49,28.33722,-16.39972,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,94.17808219,100,94.17808219,10.96751515
