,areaCode,areaName,PopVac,Cum_vaccinated,Completed_vaccinated,imd_medianS_msoa,imd_msoa_medianD,imd_rank_msoa,imd_decile_msoa,bme,Broad.RUC11,B_RUC11,Pct_Leave,Pct_Remain,vacPop,Asthma,COPD,Dementia,Depression,Diabetes,blood_pre,Epilepsy,poptotal,imd_decile_msoaLast,first_party,Pct_con,Pct_LAB,Cum_firstDose,First_dosePct,rates,rateCat,imd_decile_msoaLast_2,imd_decile_msoaLast_3,imd_decile_msoaLast_4,imd_decile_msoaLast_5,imd_decile_msoaLast_6,imd_decile_msoaLast_7,imd_decile_msoaLast_8,imd_decile_msoaLast_9,imd_decile_msoaLast_10,rateCat_high,rateCat_lowmedian,rateCat_upmedian,Pct_Age,PctYoung,pctYoungAge,PctOld,DeathRates
11,E02000012,Longbridge & Barking Park,10296,5978,58.1,20.973,5,4072,6,56.10841424,Predominantly Urban,PU,62.44,37.56,9219,5.4,1.2,0.4,7.6,9.9,12,0.6,10289,5,Lab,26.4994719,61.16766669,6741,65.5,54.97280497,lowmedian,0,0,0,1,0,0,0,0,0,0,1,0,12.58021978,15.52229092,22.73565463,12.2030589,0.228571429
12,E02000013,Becontree South,8520,4554,53.5,36.246,2,5835,9,31.08783623,Predominantly Urban,PU,62.44,37.56,7170,4.8,1.7,0.5,9.2,7.8,11.2,0.7,8512,2,Lab,26.4994719,61.16766669,5128,60.2,66.43192488,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,10.71151071,13.45885635,22.80334728,11.79916318,0.288600289
13,E02000014,Dagenham Central,9451,5061,53.5,36.913,2,5879,9,29.51499681,Predominantly Urban,PU,62.44,37.56,7927,4.7,1.7,0.5,8.7,8,11.8,0.7,9460,2,Lab,43.84360352,44.5135475,5681,60.1,59.88784256,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,10.06421834,12.65295824,20.27248644,12.77910937,0.260887016
14,E02000015,Old Dagenham Park & Village,7535,4014,53.3,39.0975,2,6013,9,36.71823351,Predominantly Urban,PU,62.44,37.56,6471,4.6,1.8,0.4,8.9,8.2,12,0.6,7531,2,Lab,43.84360352,44.5135475,4553,60.4,75.11612475,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,11.03030303,14.06274146,22.02132592,10.87930768,0.315151515
15,E02000016,Barking Central,10770,4796,44.5,33.5755,2.5,5628,9,70.41427827,Predominantly Urban,PU,62.44,37.56,7872,3.8,0.7,0.1,6,7.7,8.4,0.4,10778,2,Lab,26.4994719,61.16766669,5595,51.9,52.55338904,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,9.447674419,12.38567073,19.90599593,4.547764228,0.251937984
16,E02000017,Barking East,10152,4784,47.1,28.389,3,5116,8,68.73381972,Predominantly Urban,PU,62.44,37.56,7686,4.6,0.9,0.3,6.4,9.5,10.1,0.4,10157,3,Lab,26.4994719,61.16766669,5488,54.1,55.75256107,lowmedian,0,1,0,0,0,0,0,0,0,0,1,0,10.96774194,13.49206349,19.46396045,9.797033568,0.274986779
17,E02000018,Mayesbrook Park & Rippleside,8873,4599,51.8,35.688,2,5802,9,35.86051744,Predominantly Urban,PU,62.44,37.56,7616,4.9,1.7,0.5,8.7,8.2,11.8,0.7,8878,2,Lab,26.4994719,61.16766669,5189,58.5,63.78902288,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,11.69271905,14.92909664,23.64758403,9.755777311,0.267379679
18,E02000019,Goresbrook & Scrattons Farm,8666,4591,53,31.763,3,5484,9,36.11648139,Predominantly Urban,PU,62.44,37.56,7266,4.9,1.9,0.7,9.2,8.3,12.3,0.7,8662,2,Lab,26.4994719,61.16766669,5179,59.8,65.31271636,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,10.83840139,13.73520506,22.18552161,11.24415084,0.282363162
19,E02000020,Creekmouth & Barking Riverside,12936,6555,50.7,33.768,2,5645,9,53.64381199,Predominantly Urban,PU,62.44,37.56,10621,5,1.2,0.3,7.4,8.9,10.4,0.5,12929,2,Lab,26.4994719,61.16766669,7582,58.6,43.75386518,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,10.84205136,13.95348837,21.80585632,8.78448357,0.190211427
20,E02000021,Rylands Estate & Dagenham Dock,8033,4035,50.2,28.968,3,5168,8,42.45951417,Predominantly Urban,PU,62.44,37.56,7053,4.7,1.4,0.5,8.5,7.9,11.8,0.6,8038,3,Lab,43.84360352,44.5135475,4608,57.4,70.45935516,upmedian,0,1,0,0,0,0,0,0,0,0,0,1,10.85125249,13.88061818,22.2174961,12.47696016,0.288184438
21,E02000022,Gascoigne Estate & Roding Riverside,7395,3474,47,36.941,2,5881,9,61.775094,Predominantly Urban,PU,62.44,37.56,6013,4.1,0.8,0.2,6.5,7.9,9.2,0.5,7391,2,Lab,26.4994719,61.16766669,4050,54.8,76.53820149,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,9.564134496,12.77232663,22.96690504,5.138865791,0.323785803
22,E02000023,Thames View,7222,3556,49.2,41.5545,2,6157,10,54.82875656,Predominantly Urban,PU,62.44,37.56,5976,5.2,1.3,0.2,8.8,8.3,10.4,0.5,7228,1,Lab,26.4994719,61.16766669,4160,57.6,78.3716422,upmedian,0,0,0,0,0,0,0,0,0,0,0,1,11.64783311,15.6961178,24.81593039,6.760374833,0.322861046
23,E02000024,High Barnet & Hadley,10127,7460,73.7,7.686,9,900,2,16.60102403,Predominantly Urban,PU,37.77,62.23,9636,5.6,1.5,0.8,8.8,6,13,0.8,10122,9,Con,44.72024874,42.61494902,8125,80.2,99.83213192,upmedian,0,0,0,0,0,0,0,1,0,0,0,1,9.176131242,10.56454961,15.86757991,22.06309672,0.225347034
24,E02000025,Hadley Wood,7397,5192,70.2,13.376,7,2470,4,21.26696833,Predominantly Urban,PU,37.77,62.23,7122,4.9,1.6,0.7,8.3,6.4,11.8,0.8,7396,7,Con,44.72024874,42.61494902,5664,76.6,136.6770312,high,0,0,0,0,0,1,0,0,0,1,0,0,7.492555092,8.831788823,14.16736872,18.66048863,0.297796307
25,E02000026,Oak Hill,6089,4327,71.1,10.8235,8,1795,3,21.41612546,Predominantly Urban,PU,37.77,62.23,5569,4.7,1.2,0.9,8,6.4,12.3,0.7,6086,8,Con,44.72024874,42.61494902,4670,76.7,166.0371161,high,0,0,0,0,0,0,1,0,0,1,0,0,8.492696883,10.12749147,15.96336865,21.67355001,0.37644933
26,E02000027,Ducks Island & Underhill,8941,6066,67.8,18.9285,5,3723,6,30.32923526,Predominantly Urban,PU,37.77,62.23,8148,5.5,1.5,0.8,8.8,6.6,13,0.8,8947,5,Con,44.72024874,42.61494902,6690,74.8,113.0746002,high,0,0,0,1,0,0,0,0,0,1,0,0,10.38961039,12.27295042,19.2562592,18.36033382,0.25974026
27,E02000028,New Barnet West,6134,4253,69.3,12.365,7,2214,4,25.13785274,Predominantly Urban,PU,37.77,62.23,5768,4.7,1.5,0.7,8,6.2,11.6,0.7,6137,7,Con,44.72024874,42.61494902,4653,75.9,164.8190414,high,0,0,0,0,0,1,0,0,0,1,0,0,8.451528001,10.02080444,15.55131761,18.01317614,0.365550519
28,E02000029,New Barnet Town & East Barnet,8378,5490,65.5,16.271,6,3204,5,25.02054714,Predominantly Urban,PU,37.77,62.23,7781,5.2,1.6,0.5,9.5,6.4,12.4,0.7,8382,6,Con,44.72024874,42.61494902,6050,72.2,120.6731917,high,0,0,0,0,1,0,0,0,0,1,0,0,9.019402202,11.05256394,17.83832412,15.26796042,0.262191924
29,E02000030,Totteridge & Barnet Gate,9090,6632,73,10.9705,7.5,1838,3,24.97261774,Predominantly Urban,PU,37.77,62.23,8170,5.5,1.4,1.2,8.6,6.3,13,0.7,9085,8,Con,44.72024874,42.61494902,7208,79.3,111.2211221,high,0,0,0,0,0,0,1,0,0,1,0,0,9.48709712,10.84455324,17.19706242,25.01835985,0.267694614
30,E02000031,Oakleigh Park,8208,5790,70.5,8.582,9,1120,2,28.42061969,Predominantly Urban,PU,37.77,62.23,6914,5.2,1.5,1.3,8.5,6.3,12.7,0.5,8213,9,Con,44.72024874,42.61494902,6260,76.3,123.1725146,high,0,0,0,0,0,0,0,1,0,1,0,0,7.465256426,8.7792884,13.61006653,23.2860862,0.307465256
31,E02000032,Osidge,7734,5358,69.3,7.79,9,924,2,32.28967799,Predominantly Urban,PU,37.77,62.23,6614,4.9,0.9,0.8,8.9,6.9,13.4,0.6,7732,9,Con,44.72024874,42.61494902,5789,74.9,130.7214895,high,0,0,0,0,0,0,0,1,0,1,0,0,9.179433913,10.68944663,18.02237678,20.81947384,0.324591015
32,E02000033,Brunswick Park Road,8084,5368,66.4,11.048,8,1855,3,30.98278084,Predominantly Urban,PU,37.77,62.23,7622,5.3,1.2,0.7,9.1,7,13.3,0.7,8084,8,Con,44.72024874,42.61494902,5858,72.5,125.0618506,high,0,0,0,0,0,0,1,0,0,1,0,0,9.448030269,11.13880871,16.97717135,16.89845185,0.27821055
33,E02000034,Whetstone East,8831,5827,66,14.866,6,2866,5,29.27832628,Predominantly Urban,PU,37.77,62.23,7908,5.1,1.3,1,8.6,6.4,12.3,0.6,8829,6,Con,44.72024874,42.61494902,6386,72.3,114.483071,high,0,0,0,0,1,0,0,0,0,1,0,0,8.40882447,9.97723824,15.92058675,18.10824482,0.266439305
34,E02000035,Woodside Park,8740,5767,66,14.405,6,2758,5,36.0703076,Predominantly Urban,PU,37.77,62.23,7707,5.2,1.2,1.3,9,6.6,12.6,0.5,8738,6,Con,44.72024874,42.61494902,6272,71.8,115.6750572,high,0,0,0,0,1,0,0,0,0,1,0,0,7.847459495,9.238354742,13.71480472,18.77513948,0.275542819
35,E02000036,Edgware East,11021,6980,63.3,16.081,6,3156,5,42.03667504,Predominantly Urban,PU,37.77,62.23,9511,5.1,1.1,0.7,7.2,7.9,12.8,0.5,11027,6,Con,48.80254199,41.12210622,7719,70,91.73396244,upmedian,0,0,0,0,1,0,0,0,0,0,0,1,9.940017138,12.19640416,18.98853959,16.60182946,0.214224507
36,E02000037,Edgware Park,9949,6696,67.3,9.0885,8.5,1247,2,36.50549225,Predominantly Urban,PU,37.77,62.23,8608,4.9,1.1,0.9,7.1,7.9,12.8,0.6,9949,9,Con,48.80254199,41.12210622,7267,73,101.6182531,upmedian,0,0,0,0,0,0,0,1,0,0,0,1,10.03933321,12.4535316,20.07434944,20.59711896,0.234126241
37,E02000038,Friern Barnet,10366,6633,64,15.385,6,2996,5,34.53490584,Predominantly Urban,PU,37.77,62.23,9769,5,1.2,0.8,8.6,7.1,11.8,0.5,10364,6,Con,44.72024874,42.61494902,7336,70.8,97.53038781,upmedian,0,0,0,0,1,0,0,0,0,0,0,1,9.327510917,10.93254171,17.06418262,15.51847681,0.218340611
38,E02000039,Mill Hill Park,7068,4929,69.7,9.892,8,1481,3,29.8576779,Predominantly Urban,PU,37.77,62.23,6064,5.5,1.1,0.6,7,6.3,12.8,0.4,7072,8,Con,48.80254199,41.12210622,5370,76,143.0390492,high,0,0,0,0,0,0,1,0,0,1,0,0,9.371095377,11.13126649,17.46372032,18.56860158,0.347077607
39,E02000040,Mill Hill East,8871,5780,65.2,15.186,6,2946,5,37.69626233,Predominantly Urban,PU,37.77,62.23,6994,5,1.1,0.7,8,6.4,12.1,0.5,8865,6,Con,48.80254199,41.12210622,6408,72.2,113.9668583,high,0,0,0,0,1,0,0,0,0,1,0,0,9.825841374,11.93880469,19.37374893,18.22991135,0.294186867
40,E02000041,Edgware Central,10070,5771,57.3,16.117,6,3165,5,42.81012371,Predominantly Urban,PU,37.77,62.23,8280,4.9,1,0.7,7,7.9,12.2,0.6,10072,6,Con,48.80254199,41.12210622,6360,63.2,100.3972195,upmedian,0,0,0,0,1,0,0,0,0,0,0,1,9.954392227,12.12560386,18.75603865,17.24637681,0.247868332
41,E02000042,North Finchley,11388,7266,63.8,15.153,6,2934,5,42.03402575,Predominantly Urban,PU,37.77,62.23,10408,4.8,1.1,1,8.7,6.9,12.3,0.6,11389,6,Con,43.84401822,24.21927453,7995,70.2,88.7776607,upmedian,0,0,0,0,1,0,0,0,0,0,0,1,8.808711198,10.41506533,15.95887779,15.68985396,0.203152934
42,E02000043,West Finchley,7749,5074,65.5,6.805,9,664,1,39.6049896,Predominantly Urban,PU,37.77,62.23,6872,4.5,0.9,0.9,7.4,7,11.7,0.5,7747,10,Con,43.84401822,24.21927453,5548,71.6,130.4684475,high,0,0,0,0,0,0,0,0,1,1,0,0,8.69774147,10.5355064,18.21885914,18.23341094,0.300336377
43,E02000044,Mill Hill Broadway,8993,5124,57,25.53,4,4770,8,43.89790608,Predominantly Urban,PU,37.77,62.23,7307,4.9,1.2,0.4,7.5,7.7,12.2,0.5,8989,3,Con,48.80254199,41.12210622,5693,63.3,112.4207717,high,0,1,0,0,0,0,0,0,0,1,0,0,9.985365305,12.13904475,19.8029287,12.63172301,0.281436452
44,E02000045,Colney Hatch,10065,6110,60.7,19.2945,5.5,3772,6,35.45960731,Predominantly Urban,PU,37.77,62.23,9153,5.3,1.2,0.5,8.2,6.7,10.8,0.6,10066,5,Con,44.72024874,42.61494902,6736,66.9,100.4470939,upmedian,0,0,0,1,0,0,0,0,0,0,0,1,9.586175534,11.51535016,17.66633891,12.65158964,0.22737608
45,E02000046,Church End,7398,4616,62.4,12.313,7,2197,4,37.22214357,Predominantly Urban,PU,37.77,62.23,6575,4.3,0.8,0.5,7.3,6.7,10.9,0.5,7397,7,Con,43.84401822,24.21927453,5035,68.1,136.6585564,high,0,0,0,0,0,1,0,0,0,1,0,0,8.42966619,9.870722433,14.25095057,13.50570342,0.324717496
46,E02000047,Burnt Oak & Watling Park,12608,6600,52.3,26.8795,3,4937,8,53.94355051,Predominantly Urban,PU,37.77,62.23,10251,4.6,1.1,0.5,6.8,7.9,11.9,0.6,12620,3,Con,48.80254199,41.12210622,7466,59.2,80.18718274,upmedian,0,1,0,0,0,0,0,0,0,0,0,1,10.31232527,12.59389328,19.06155497,13.06214028,0.199696461
